id,name,category,department,status,purchaseDate,vendor,cost,serialNumber,description,qrCode
AST-0001,Oscilloscope,Academic,CSBS,Active,2020-12-03,Furniture Direct,144514,SN-NKVGDQ,Active Oscilloscope used by CSBS,qr-AST-0001
AST-0002,Whiteboard,Academic,CSE,In Repair,2019-08-08,EduTech Global,14849,SN-EWM221,In Repair Whiteboard used by CSE,qr-AST-0002
AST-0003,Oscilloscope,Academic,EEE,In Repair,2019-03-26,Furniture Direct,154756,SN-MF193B,In Repair Oscilloscope used by EEE,qr-AST-0003
AST-0004,Student Desk,Academic,COE,Active,2020-02-09,TCS Supplier,12296,SN-6MCDVM,Active Student Desk used by COE,qr-AST-0004
AST-0005,Oscilloscope,Academic,Civil,Disposed,2019-12-06,Cloud Services inc.,145836,SN-RGMRYG,Disposed Oscilloscope used by Civil,qr-AST-0005
AST-0006,Drawing Board,Academic,BME,In Repair,2020-10-12,Hardware Store,8294,SN-J9JWRG,In Repair Drawing Board used by BME,qr-AST-0006
AST-0007,Student Desk,Academic,EEE,Disposed,2023-06-19,Campus Solutions,11898,SN-AWLY0K,Disposed Student Desk used by EEE,qr-AST-0007
AST-0008,Drawing Board,Academic,CSE,Disposed,2022-08-08,EduTech Global,7893,SN-0SNDRR,Disposed Drawing Board used by CSE,qr-AST-0008
AST-0009,Teacher Desk,Academic,EEE,In Repair,2022-09-16,Furniture Direct,25195,SN-VGH9DS,In Repair Teacher Desk used by EEE,qr-AST-0009
AST-0010,Oscilloscope,Academic,Cybersecurity,In Repair,2023-12-10,Cloud Services inc.,144793,SN-BSJ7KS,In Repair Oscilloscope used by Cybersecurity,qr-AST-0010
AST-0011,Whiteboard,Academic,AI&DS,In Repair,2021-07-04,Hardware Store,14797,SN-HCXUIR,In Repair Whiteboard used by AI&DS,qr-AST-0011
AST-0012,Printer,IT Infrastructure,AIML,Disposed,2020-04-05,Cloud Services inc.,67889,SN-AYL10Z,Disposed Printer used by AIML,qr-AST-0012
