id,item,category,department,requestedBy,amount,status,date
APR-201,Smart Board Purchase,Academic Approvals,Academic Block,Dr. Sharma,150000,Pending Verification,2024-03-01
APR-202,Smart Board Upgrade,Academic Approvals,Academic Block,Prof. Gupta,160000,Reviewing,2024-03-05
APR-203,Laptop Batch Purchase,IT & Technology,IT Dept,Amit Singh,845000,Approved,2024-02-15
APR-204,Laptop Procurement,IT & Technology,IT Dept,Rajiv Rao,920000,Requested,2024-03-08
APR-205,Server Room Upgrade,IT & Technology,IT Dept,Neha Verma,2500000,Purchased,2024-01-10
APR-206,Reference Book Procurement,Library Approvals,Library Dept,Ms. Iyer,45000,Delivered,2023-11-20
APR-207,Journal Subscription Renewal,Library Approvals,Library Dept,Mr. Bose,120000,Approved,2024-02-28
APR-208,Bed Mattress Replacement,Hostel Approvals,Hostel Admin,Warden Kumar,350000,Reviewing,2024-03-02
APR-209,Hostel Wi-Fi Upgrade,Hostel Approvals,Hostel Admin,Warden Singh,65000,Requested,2024-03-09
APR-210,Industrial Refrigerator Purchase,Food & Kitchen,Admin,Chef Sanjeev,220000,Purchased,2024-01-25
APR-211,College Bus Purchase,Transport & Vehicles,Transport Dept,D. Patel,3500000,Delivered,2023-09-15
APR-212,Bus CCTV Upgrade,Transport & Vehicles,Transport Dept,D. Patel,75000,Reviewing,2024-02-20
APR-213,Hospital Bed Procurement,Medical Approvals,Medical Center,Dr. Reddy,140000,Approved,2024-02-18
APR-214,Hospital Bed Replacement,Medical Approvals,Medical Center,Nurse Joy,155000,Requested,2024-03-07
APR-215,Cricket Kit Purchase,Sports Approvals,Sports Dept,Coach Ravi,48000,Delivered,2023-12-05
APR-216,Gym Treadmill Upgrade,Sports Approvals,Sports Dept,Coach Ravi,180000,Reviewing,2024-03-04
APR-217,Wireless Microphone Set,Event & AV Equipment,Event Committee,K. Desai,35000,Purchased,2024-01-12
APR-218,Speaker System Upgrade,Event & AV Equipment,Event Committee,P. Nair,120000,Requested,2024-03-10
APR-219,CCTV Camera Expansion,Campus Infrastructure,Campus Security,Chief Security Ofc,450000,Approved,2024-02-10
APR-220,Security Camera Purchase,Campus Infrastructure,Campus Security,Warden Kumar,380000,Requested,2024-03-08
